experiment,point_index,amplitude_energy_GeV,amplitude_energy_TeV,dipole_amplitude,amplitude_err_minus,amplitude_err_plus,amplitude_lower,amplitude_upper,phase_energy_GeV,phase_energy_TeV,phase_hour,phase_err_minus_hour,phase_err_plus_hour,phase_lower_hour,phase_upper_hour,amplitude_lower_clipped,amplitude_upper_clipped,phase_missing,marker_shape,rgb,vector_x_amplitude_pt,vector_y_amplitude_pt,vector_x_phase_pt,vector_y_phase_pt,extraction_method,source_pdf_page
MACRO,1,29980.060674213553,29.980060674213554,0.0008197487122584981,0.0002695816832457616,0.0002704272518807162,0.0005501670290127365,0.0010901759641392143,29980.839167953214,29.980839167953214,-0.8005088533761935,1.298523435895035,1.2983398355789078,-2.0990322892712285,0.49783098220271427,false,false,false,circle,"0,1,1",168.725,134.09400000000005,409.01750000000004,158.72900000000004,PDF vector paths only,5
Super-Kamiokande,1,12005.13093073178,12.00513093073178,0.0005699160352007597,0.00010008113908284888,0.00009976438493402738,0.0004698348961179108,0.0006696804201347871,12004.303918993464,12.004303918993465,2.3404590549779236,0.6712491308070909,0.6711662556644029,1.6692099241708327,3.0116253106423265,false,false,false,circle,"0.78039,0.78039,0",148.048,145.10400000000004,388.33849999999995,134.09400000000005,PDF vector paths only,5
Milagro,1,6003.9514104090695,6.003951410409069,0.0019995960268770056,0.0009995914045927336,0.0010001057256510265,0.001000004622284272,0.002999701752528032,6003.774754531909,6.003774754531909,0.6645961693515154,0.3333040614079241,0.33354567432396465,0.3312921079435913,0.9981418436754801,false,false,false,circle,"0,0,0.55294",132.393,107.08600000000001,372.68449999999996,147.23800000000006,PDF vector paths only,5
Tibet ASgamma,1,3998.1437695485574,3.9981437695485575,0.0008338336270129293,0.00005228090528099376,0.00005175281190141401,0.0007815527217319355,0.0008855864389143433,3997.926402992388,3.997926402992388,0.9016815525829198,0.2019138101703426,0.19731678975484712,0.6997677424125772,1.098998342337767,false,false,false,triangle_up,"0.50196,0.078431,0.078431",123.207,133.57800999999992,363.49800000000005,145.37850999999998,PDF vector paths only,5
Tibet ASgamma,2,6199.055064607475,6.199055064607475,0.0008765879046145601,0.00006151280359962164,0.00006285222954209222,0.0008150751010149385,0.0009394401341566523,6198.736854294636,6.198736854294636,1.599107753463663,0.298272738588377,0.3026007335406309,1.300835014875286,1.901708487004294,false,false,false,triangle_up,"0.50196,0.078431,0.078431",133.1155,132.06350999999992,373.4065,139.90850999999995,PDF vector paths only,5
Tibet ASgamma,3,12005.13093073178,12.00513093073178,0.0011254485089088797,0.0000670122886591018,0.00006708522260508664,0.0010584362202497779,0.0011925337315139663,12004.303918993464,12.004303918993465,1.599107753463663,0.19742006493267894,0.2017480598849346,1.4016876885309841,1.8008558133485977,false,false,false,triangle_up,"0.50196,0.078431,0.078431",148.048,124.49450999999996,388.33849999999995,139.90850999999995,PDF vector paths only,5
Tibet ASgamma,4,14993.823239028563,14.993823239028563,0.0008500812105102729,0.00002003507421663431,0.00001951780392659829,0.0008300461362936386,0.0008695990144368712,14993.80885658465,14.99380885658465,1.45873001175074,0.10524123121225415,0.10972796393783035,1.3534887805384859,1.5684579756885704,false,false,false,triangle_up,"0.50196,0.078431,0.078431",153.07049999999998,132.99350999999987,393.3625,141.00950999999995,PDF vector paths only,5
Tibet ASgamma,5,50010.93033722956,50.01093033722956,0.0005299610222763913,0.00003995971937196499,0.00003993290398387084,0.0004900013029044263,0.0005698939262602621,50012.406073186205,50.012406073186206,1.3885411408942847,0.31590474394849366,0.31133449857907536,1.072636396945791,1.69987563947336,false,false,false,triangle_up,"0.50196,0.078431,0.078431",180.286,147.30550999999988,420.57849999999996,141.5600099999999,PDF vector paths only,5
Tibet ASgamma,6,52990.55610904497,52.99055610904497,0.0005439747327483768,0.00015797698103858494,0.00015762397625663225,0.0003859977517097918,0.000701598709005009,52989.795506641494,52.98979550664149,-1.3005659894120587,1.1010938084459116,1.1010938084458903,-2.4016597978579703,-0.19947218096616837,false,false,false,triangle_up,"0.50196,0.078431,0.078431",181.5935,146.51500999999993,421.885,162.6510099999999,PDF vector paths only,5
Tibet ASgamma,7,99998.77174642887,99.99877174642887,0.00027893653004091613,0.00005994681820445144,0.00006017934114820229,0.0002189897118364647,0.0003391158711891184,99997.77586083824,99.99777586083825,-2.2130213105460754,0.7983445371495019,0.7983445371494984,-3.0113658476955774,-1.414676773396577,false,false,false,triangle_up,"0.50196,0.078431,0.078431",195.941,166.74500999999995,436.23249999999996,169.80751,PDF vector paths only,5
